"","fromgene","togene"
"325","3717","5781"
"326","3717","5290"
"327","3717","5291"
"328","3717","5293"
"329","3717","5295"
"330","3717","5296"
"331","3717","8503"
"332","3718","6772"
"333","3718","6773"
"334","3718","6774"
"335","3718","6775"
"336","3718","6776"
"337","3718","6777"
"338","3718","6778"
"339","3718","5781"
"340","3718","5290"
"341","3718","5291"
"342","3718","5293"
"343","3718","5295"
"344","3718","5296"
"345","3718","8503"
"346","7297","6772"
"347","7297","6773"
"348","7297","6774"
"349","7297","6775"
"350","7297","6776"
"351","7297","6777"
"352","7297","6778"
"353","7297","5781"
"354","7297","5290"
"355","7297","5291"
"356","7297","5293"
"357","7297","5295"
"358","7297","5296"
"359","7297","8503"
"360","2273","6772"
"361","2273","6773"
"362","2273","6774"
"363","2273","6775"
"364","2273","6776"
"365","2273","6777"
"366","2273","6778"
"367","116379","3716"
"368","116379","3717"
"369","116379","3718"
"370","116379","7297"
"371","1271","3716"
"372","1271","3717"
"373","1271","3718"
"374","1271","7297"
"375","1438","3716"
"376","1438","3717"
"377","1438","3718"
"378","1438","7297"
"379","1439","3716"
"380","1439","3717"
"381","1439","3718"
"382","1439","7297"
"383","1441","3716"
"384","1441","3717"
"385","1441","3718"
"386","1441","7297"
"387","149233","3716"
"388","149233","3717"
"389","149233","3718"
"390","149233","7297"
"391","163702","3716"
"392","163702","3717"
"393","163702","3718"
"394","163702","7297"
"395","1956","3716"
"396","1956","3717"
"397","1956","3718"
"398","1956","7297"
"399","2057","3716"
"400","2057","3717"
"401","2057","3718"
"402","2057","7297"
"403","2690","3716"
"404","2690","3717"
"405","2690","3718"
"406","2690","7297"
"407","3454","3716"
"408","3454","3717"
"409","3454","3718"
"410","3454","7297"
"411","3455","3716"
"412","3455","3717"
"413","3455","3718"
"414","3455","7297"
"415","3459","3716"
"416","3459","3717"
"417","3459","3718"
"418","3459","7297"
"419","3460","3716"
"420","3460","3717"
"421","3460","3718"
"422","3460","7297"
"423","3559","3716"
"424","3559","3717"
"425","3559","3718"
"426","3559","7297"
"427","3560","3716"
"428","3560","3717"
"429","3560","3718"
"430","3560","7297"
"431","3561","3716"
"432","3561","3717"
"433","3561","3718"
"434","3561","7297"
"435","3563","3716"
"436","3563","3717"
"437","3563","3718"
"438","3563","7297"
"439","3566","3716"
"440","3566","3717"
"441","3566","3718"
"442","3566","7297"
"443","3568","3716"
"444","3568","3717"
"445","3568","3718"
"446","3568","7297"
"447","3570","3716"
"448","3570","3717"
"449","3570","3718"
"450","3570","7297"
"451","3572","3716"
"452","3572","3717"
"453","3572","3718"
"454","3572","7297"
"455","3575","3716"
"456","3575","3717"
"457","3575","3718"
"458","3575","7297"
"459","3581","3716"
"460","3581","3717"
"461","3581","3718"
"462","3581","7297"
"463","3587","3716"
"464","3587","3717"
"465","3587","3718"
"466","3587","7297"
"467","3588","3716"
"468","3588","3717"
"469","3588","3718"
"470","3588","7297"
"471","3590","3716"
"472","3590","3717"
"473","3590","3718"
"474","3590","7297"
"475","3594","3716"
"476","3594","3717"
"477","3594","3718"
"478","3594","7297"
"479","3595","3716"
"480","3595","3717"
"481","3595","3718"
"482","3595","7297"
"483","3597","3716"
"484","3597","3717"
"485","3597","3718"
"486","3597","7297"
"487","3598","3716"
"488","3598","3717"
"489","3598","3718"
"490","3598","7297"
"491","3601","3716"
"492","3601","3717"
"493","3601","3718"
"494","3601","7297"
"495","3953","3716"
"496","3953","3717"
"497","3953","3718"
"498","3953","7297"
"499","3977","3716"
"500","3977","3717"
"501","3977","3718"
"502","3977","7297"
"503","4352","3716"
"504","4352","3717"
"505","4352","3718"
"506","4352","7297"
"507","50615","3716"
"508","50615","3717"
"509","50615","3718"
"510","50615","7297"
"511","5156","3716"
"512","5156","3717"
"513","5156","3718"
"514","5156","7297"
"515","5159","3716"
"516","5159","3717"
"517","5159","3718"
"518","5159","7297"
"519","53832","3716"
"520","53832","3717"
"521","53832","3718"
"522","53832","7297"
"523","53833","3716"
"524","53833","3717"
"525","53833","3718"
"526","53833","7297"
"527","5618","3716"
"528","5618","3717"
"529","5618","3718"
"530","5618","7297"
"531","58985","3716"
"532","58985","3717"
"533","58985","3718"
"534","58985","7297"
"535","64109","3716"
"536","64109","3717"
"537","64109","3718"
"538","64109","7297"
"539","9180","3716"
"540","9180","3717"
"541","9180","3718"
"542","9180","7297"
"543","9466","3716"
"544","9466","3717"
"545","9466","3718"
"546","9466","7297"
"547","5771","3716"
"548","5771","3717"
"549","5771","3718"
"550","5771","7297"
"551","5771","6772"
"552","5771","6773"
"553","5771","6774"
"554","5771","6775"
"555","5771","6776"
"556","5771","6777"
"557","5771","6778"
"558","5781","6654"
"559","5781","6655"
"560","3265","5894"
"561","11009","116379"
"562","11009","1271"
"563","11009","1438"
"564","11009","1439"
"565","11009","1441"
"566","11009","149233"
"567","11009","163702"
"568","11009","1956"
"569","11009","2057"
"570","11009","2690"
"571","11009","3454"
"572","11009","3455"
"573","11009","3459"
"574","11009","3460"
"575","11009","3559"
"576","11009","3560"
"577","11009","3561"
"578","11009","3563"
"579","11009","3566"
"580","11009","3568"
"581","11009","3570"
"582","11009","3572"
"583","11009","3575"
"584","11009","3581"
"585","11009","3587"
"586","11009","3588"
"587","11009","3590"
"588","11009","3594"
"589","11009","3595"
"590","11009","3597"
"591","11009","3598"
"592","11009","3601"
"593","11009","3953"
"594","11009","3977"
"595","11009","4352"
"596","11009","50615"
"597","11009","5156"
"598","11009","5159"
"599","11009","53832"
"600","11009","53833"
"601","11009","5618"
"602","11009","58985"
"603","11009","64109"
"604","11009","9180"
"605","11009","9466"
"606","1437","116379"
"607","1437","1271"
"608","1437","1438"
"609","1437","1439"
"610","1437","1441"
"611","1437","149233"
"612","1437","163702"
"613","1437","1956"
"614","1437","2057"
"615","1437","2690"
"616","1437","3454"
"617","1437","3455"
"618","1437","3459"
"619","1437","3460"
"620","1437","3559"
"621","1437","3560"
"622","1437","3561"
"623","1437","3563"
"624","1437","3566"
"625","1437","3568"
"626","1437","3570"
"627","1437","3572"
"628","1437","3575"
"629","1437","3581"
"630","1437","3587"
"631","1437","3588"
"632","1437","3590"
"633","1437","3594"
"634","1437","3595"
"635","1437","3597"
"636","1437","3598"
"637","1437","3601"
"638","1437","3953"
"639","1437","3977"
"640","1437","4352"
"641","1437","50615"
"642","1437","5156"
"643","1437","5159"
"644","1437","53832"
"645","1437","53833"
"646","1437","5618"
"647","1437","58985"
"648","1437","64109"
"649","1437","9180"
"650","1437","9466"
"651","1489","116379"
"652","1489","1271"
"653","1489","1438"
"654","1489","1439"
"655","1489","1441"
"656","1489","149233"
